key_resp.keys,key_resp.corr,key_resp.rt,chosen_stim_name,chosen_stim_0,chosen_stim_1,true_accuracy,cumulativePts_self,cumulativePts_social,outcomeDescr,practice_round.thisRepN,practice_round.thisTrialN,practice_round.thisN,practice_round.thisIndex,practice_round.ran,index,condition,goal,block,block_num,block_instr_text,trial_num,stim_0,stim_0_value,stim_1,stim_1_value,position_changed,stim_left,stim_right,stim_left_name,stim_right_name,optimal_stim,optimal_choice,participant,date,expName,psychopyVersion,OS,frameRate,outcome,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,subject,order_num,session
left,0,1.269115,stimuli/tunga_21.bmp,0,1,0,1000,1000,practice,0,0,0,0,1,100,practice,win,practice_win,1,Play to WIN points,0,stimuli/tunga_22.bmp,1,stimuli/tunga_21.bmp,0,1,21,22,stimuli/tunga_21.bmp,stimuli/tunga_22.bmp,stimuli/tunga_22.bmp,right,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,,,,,,,,,
right,1,1.116495,stimuli/tunga_22.bmp,1,0,1,1000,1000,practice,0,1,1,1,1,101,practice,win,practice_win,1,Play to WIN points,1,stimuli/tunga_22.bmp,1,stimuli/tunga_21.bmp,0,1,21,22,stimuli/tunga_21.bmp,stimuli/tunga_22.bmp,stimuli/tunga_22.bmp,right,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,,,,,,,,,
left,0,1.135185,stimuli/tunga_22.bmp,1,0,1,1000,1000,practice,0,2,2,2,1,102,practice,win,practice_win,1,Play to WIN points,2,stimuli/tunga_22.bmp,0,stimuli/tunga_21.bmp,1,0,22,21,stimuli/tunga_22.bmp,stimuli/tunga_21.bmp,stimuli/tunga_21.bmp,right,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,,,,,,,,,
right,0,1.15166,stimuli/tunga_21.bmp,0,1,0,1000,1000,practice,0,3,3,3,1,103,practice,win,practice_win,1,Play to WIN points,3,stimuli/tunga_22.bmp,1,stimuli/tunga_21.bmp,0,0,22,21,stimuli/tunga_22.bmp,stimuli/tunga_21.bmp,stimuli/tunga_22.bmp,left,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,,,,,,,,,
right,0,1.15314,stimuli/tunga_22.bmp,1,0,1,1000,1000,practice,0,4,4,4,1,104,practice,win,practice_win,1,Play to WIN points,4,stimuli/tunga_22.bmp,0,stimuli/tunga_21.bmp,1,1,21,22,stimuli/tunga_21.bmp,stimuli/tunga_22.bmp,stimuli/tunga_21.bmp,left,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,,,,,,,,,
right,0,1.083565,stimuli/tunga_21.bmp,0,1,0,1000,1000,practice,0,5,5,5,1,105,practice,win,practice_win,1,Play to WIN points,5,stimuli/tunga_22.bmp,1,stimuli/tunga_21.bmp,0,0,22,21,stimuli/tunga_22.bmp,stimuli/tunga_21.bmp,stimuli/tunga_22.bmp,left,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,,,,,,,,,
right,1,0.778365,stimuli/tunga_22.bmp,1,0,1,1000,1000,practice,0,6,6,6,1,106,practice,win,practice_win,1,Play to WIN points,6,stimuli/tunga_22.bmp,1,stimuli/tunga_21.bmp,0,1,21,22,stimuli/tunga_21.bmp,stimuli/tunga_22.bmp,stimuli/tunga_22.bmp,right,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,,,,,,,,,
,0,,,,,,1000,1000,practice,0,7,7,7,1,107,practice,win,practice_win,1,Play to WIN points,7,stimuli/tunga_22.bmp,1,stimuli/tunga_21.bmp,0,0,22,21,stimuli/tunga_22.bmp,stimuli/tunga_21.bmp,stimuli/tunga_22.bmp,left,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,,,,,,,,,
left,1,0.89075,stimuli/tunga_23.bmp,1,0,0,1000,1000,practice,0,8,8,8,1,108,practice,avoidloss,practice_avoidloss,3,Play to AVOID LOSING points,0,stimuli/tunga_23.bmp,0,stimuli/tunga_24.bmp,-1,0,23,24,stimuli/tunga_23.bmp,stimuli/tunga_24.bmp,stimuli/tunga_23.bmp,left,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,,,,,,,,,
left,0,0.71975,stimuli/tunga_23.bmp,1,0,0,1000,1000,practice,0,9,9,9,1,109,practice,avoidloss,practice_avoidloss,3,Play to AVOID LOSING points,1,stimuli/tunga_23.bmp,-1,stimuli/tunga_24.bmp,0,0,23,24,stimuli/tunga_23.bmp,stimuli/tunga_24.bmp,stimuli/tunga_24.bmp,right,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,,,,,,,,,
left,1,1.25784,stimuli/tunga_24.bmp,0,1,1,1000,1000,practice,0,10,10,10,1,110,practice,avoidloss,practice_avoidloss,3,Play to AVOID LOSING points,2,stimuli/tunga_23.bmp,-1,stimuli/tunga_24.bmp,0,1,24,23,stimuli/tunga_24.bmp,stimuli/tunga_23.bmp,stimuli/tunga_24.bmp,left,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,,,,,,,,,
left,0,0.817555,stimuli/tunga_24.bmp,0,1,1,1000,1000,practice,0,11,11,11,1,111,practice,avoidloss,practice_avoidloss,3,Play to AVOID LOSING points,3,stimuli/tunga_23.bmp,0,stimuli/tunga_24.bmp,-1,1,24,23,stimuli/tunga_24.bmp,stimuli/tunga_23.bmp,stimuli/tunga_23.bmp,right,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,,,,,,,,,
left,0,1.31849,stimuli/tunga_23.bmp,1,0,0,1000,1000,practice,0,12,12,12,1,112,practice,avoidloss,practice_avoidloss,3,Play to AVOID LOSING points,4,stimuli/tunga_23.bmp,-1,stimuli/tunga_24.bmp,0,0,23,24,stimuli/tunga_23.bmp,stimuli/tunga_24.bmp,stimuli/tunga_24.bmp,right,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,,,,,,,,,
left,0,0.767845,stimuli/tunga_23.bmp,1,0,0,1000,1000,practice,0,13,13,13,1,113,practice,avoidloss,practice_avoidloss,3,Play to AVOID LOSING points,5,stimuli/tunga_23.bmp,-1,stimuli/tunga_24.bmp,0,0,23,24,stimuli/tunga_23.bmp,stimuli/tunga_24.bmp,stimuli/tunga_24.bmp,right,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,,,,,,,,,
left,1,0.918225,stimuli/tunga_24.bmp,0,1,1,1000,1000,practice,0,14,14,14,1,114,practice,avoidloss,practice_avoidloss,3,Play to AVOID LOSING points,6,stimuli/tunga_23.bmp,-1,stimuli/tunga_24.bmp,0,1,24,23,stimuli/tunga_24.bmp,stimuli/tunga_23.bmp,stimuli/tunga_24.bmp,left,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,,,,,,,,,
right,0,0.735,stimuli/tunga_23.bmp,1,0,0,1000,1000,practice,0,15,15,15,1,115,practice,avoidloss,practice_avoidloss,3,Play to AVOID LOSING points,7,stimuli/tunga_23.bmp,-1,stimuli/tunga_24.bmp,0,1,24,23,stimuli/tunga_24.bmp,stimuli/tunga_23.bmp,stimuli/tunga_24.bmp,left,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,,,,,,,,,
left,0,1.4441,stimuli/tunga_13.bmp,1,0,0,1000,900,social lose,,,,,,0,social,avoidloss,social_avoidloss,3,"Play to AVOID LOSING points

for the NEXT STUDENT",0,stimuli/tunga_13.bmp,-1,stimuli/tunga_16.bmp,0,0,13,16,stimuli/tunga_13.bmp,stimuli/tunga_16.bmp,stimuli/tunga_16.bmp,right,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,-1,0,0,0,0,1,3,3,0
right,1,1.10051,stimuli/tunga_16.bmp,0,1,1,1000,900,social avoid loss,,,,,,1,social,avoidloss,social_avoidloss,3,"Play to AVOID LOSING points

for the NEXT STUDENT",1,stimuli/tunga_13.bmp,-1,stimuli/tunga_16.bmp,0,0,13,16,stimuli/tunga_13.bmp,stimuli/tunga_16.bmp,stimuli/tunga_16.bmp,right,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,0,0,1,1,1,1,3,3,0
right,0,0.81059,stimuli/tunga_16.bmp,0,1,1,1000,800,social lose,,,,,,2,social,avoidloss,social_avoidloss,3,"Play to AVOID LOSING points

for the NEXT STUDENT",2,stimuli/tunga_13.bmp,0,stimuli/tunga_16.bmp,-1,0,13,16,stimuli/tunga_13.bmp,stimuli/tunga_16.bmp,stimuli/tunga_13.bmp,left,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,-1,0,2,2,2,1,3,3,0
left,1,1.50079,stimuli/tunga_16.bmp,0,1,1,1000,800,social avoid loss,,,,,,3,social,avoidloss,social_avoidloss,3,"Play to AVOID LOSING points

for the NEXT STUDENT",3,stimuli/tunga_13.bmp,-1,stimuli/tunga_16.bmp,0,1,16,13,stimuli/tunga_16.bmp,stimuli/tunga_13.bmp,stimuli/tunga_16.bmp,left,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,0,0,3,3,3,1,3,3,0
right,1,0.95897,stimuli/tunga_16.bmp,0,1,1,1000,800,social avoid loss,,,,,,4,social,avoidloss,social_avoidloss,3,"Play to AVOID LOSING points

for the NEXT STUDENT",4,stimuli/tunga_13.bmp,-1,stimuli/tunga_16.bmp,0,0,13,16,stimuli/tunga_13.bmp,stimuli/tunga_16.bmp,stimuli/tunga_16.bmp,right,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,0,0,4,4,4,1,3,3,0
left,1,1.08413,stimuli/tunga_16.bmp,0,1,1,1000,800,social avoid loss,,,,,,5,social,avoidloss,social_avoidloss,3,"Play to AVOID LOSING points

for the NEXT STUDENT",5,stimuli/tunga_13.bmp,-1,stimuli/tunga_16.bmp,0,1,16,13,stimuli/tunga_16.bmp,stimuli/tunga_13.bmp,stimuli/tunga_16.bmp,left,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,0,0,5,5,5,1,3,3,0
left,1,0.668605,stimuli/tunga_16.bmp,0,1,1,1000,800,social avoid loss,,,,,,6,social,avoidloss,social_avoidloss,3,"Play to AVOID LOSING points

for the NEXT STUDENT",6,stimuli/tunga_13.bmp,-1,stimuli/tunga_16.bmp,0,1,16,13,stimuli/tunga_16.bmp,stimuli/tunga_13.bmp,stimuli/tunga_16.bmp,left,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,0,0,6,6,6,1,3,3,0
left,1,0.518305,stimuli/tunga_16.bmp,0,1,1,1000,800,social avoid loss,,,,,,7,social,avoidloss,social_avoidloss,3,"Play to AVOID LOSING points

for the NEXT STUDENT",7,stimuli/tunga_13.bmp,-1,stimuli/tunga_16.bmp,0,1,16,13,stimuli/tunga_16.bmp,stimuli/tunga_13.bmp,stimuli/tunga_16.bmp,left,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,0,0,7,7,7,1,3,3,0
left,1,0.51789,stimuli/tunga_16.bmp,0,1,1,1000,800,social avoid loss,,,,,,8,social,avoidloss,social_avoidloss,3,"Play to AVOID LOSING points

for the NEXT STUDENT",8,stimuli/tunga_13.bmp,-1,stimuli/tunga_16.bmp,0,1,16,13,stimuli/tunga_16.bmp,stimuli/tunga_13.bmp,stimuli/tunga_16.bmp,left,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,0,0,8,8,8,1,3,3,0
left,0,0.5006,stimuli/tunga_16.bmp,0,1,1,1000,700,social lose,,,,,,9,social,avoidloss,social_avoidloss,3,"Play to AVOID LOSING points

for the NEXT STUDENT",9,stimuli/tunga_13.bmp,0,stimuli/tunga_16.bmp,-1,1,16,13,stimuli/tunga_16.bmp,stimuli/tunga_13.bmp,stimuli/tunga_13.bmp,right,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,-1,0,9,9,9,1,3,3,0
left,1,0.618185,stimuli/tunga_16.bmp,0,1,1,1000,700,social avoid loss,,,,,,10,social,avoidloss,social_avoidloss,3,"Play to AVOID LOSING points

for the NEXT STUDENT",10,stimuli/tunga_13.bmp,-1,stimuli/tunga_16.bmp,0,1,16,13,stimuli/tunga_16.bmp,stimuli/tunga_13.bmp,stimuli/tunga_16.bmp,left,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,0,0,10,10,10,1,3,3,0
left,0,0.427275,stimuli/tunga_13.bmp,1,0,0,1000,600,social lose,,,,,,11,social,avoidloss,social_avoidloss,3,"Play to AVOID LOSING points

for the NEXT STUDENT",11,stimuli/tunga_13.bmp,-1,stimuli/tunga_16.bmp,0,0,13,16,stimuli/tunga_13.bmp,stimuli/tunga_16.bmp,stimuli/tunga_16.bmp,right,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,-1,0,11,11,11,1,3,3,0
left,1,0.47264,stimuli/tunga_13.bmp,1,0,0,1000,600,social avoid loss,,,,,,12,social,avoidloss,social_avoidloss,3,"Play to AVOID LOSING points

for the NEXT STUDENT",12,stimuli/tunga_13.bmp,0,stimuli/tunga_16.bmp,-1,0,13,16,stimuli/tunga_13.bmp,stimuli/tunga_16.bmp,stimuli/tunga_13.bmp,left,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,0,0,12,12,12,1,3,3,0
left,0,0.467085,stimuli/tunga_13.bmp,1,0,0,1000,500,social lose,,,,,,13,social,avoidloss,social_avoidloss,3,"Play to AVOID LOSING points

for the NEXT STUDENT",13,stimuli/tunga_13.bmp,-1,stimuli/tunga_16.bmp,0,0,13,16,stimuli/tunga_13.bmp,stimuli/tunga_16.bmp,stimuli/tunga_16.bmp,right,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,-1,0,13,13,13,1,3,3,0
left,0,0.49449,stimuli/tunga_13.bmp,1,0,0,1000,400,social lose,,,,,,14,social,avoidloss,social_avoidloss,3,"Play to AVOID LOSING points

for the NEXT STUDENT",14,stimuli/tunga_13.bmp,-1,stimuli/tunga_16.bmp,0,0,13,16,stimuli/tunga_13.bmp,stimuli/tunga_16.bmp,stimuli/tunga_16.bmp,right,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,-1,0,14,14,14,1,3,3,0
left,0,0.35221,stimuli/tunga_16.bmp,0,1,1,1000,300,social lose,,,,,,15,social,avoidloss,social_avoidloss,3,"Play to AVOID LOSING points

for the NEXT STUDENT",15,stimuli/tunga_13.bmp,0,stimuli/tunga_16.bmp,-1,1,16,13,stimuli/tunga_16.bmp,stimuli/tunga_13.bmp,stimuli/tunga_13.bmp,right,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,-1,0,15,15,15,1,3,3,0
right,0,0.571215,stimuli/tunga_16.bmp,0,1,1,1000,200,social lose,,,,,,16,social,avoidloss,social_avoidloss,3,"Play to AVOID LOSING points

for the NEXT STUDENT",16,stimuli/tunga_13.bmp,0,stimuli/tunga_16.bmp,-1,0,13,16,stimuli/tunga_13.bmp,stimuli/tunga_16.bmp,stimuli/tunga_13.bmp,left,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,-1,0,16,16,16,1,3,3,0
right,0,1.03362,stimuli/tunga_13.bmp,1,0,0,1000,100,social lose,,,,,,17,social,avoidloss,social_avoidloss,3,"Play to AVOID LOSING points

for the NEXT STUDENT",17,stimuli/tunga_13.bmp,-1,stimuli/tunga_16.bmp,0,1,16,13,stimuli/tunga_16.bmp,stimuli/tunga_13.bmp,stimuli/tunga_16.bmp,left,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,-1,0,17,17,17,1,3,3,0
left,1,0.48625,stimuli/tunga_16.bmp,0,1,1,1000,100,social avoid loss,,,,,,18,social,avoidloss,social_avoidloss,3,"Play to AVOID LOSING points

for the NEXT STUDENT",18,stimuli/tunga_13.bmp,-1,stimuli/tunga_16.bmp,0,1,16,13,stimuli/tunga_16.bmp,stimuli/tunga_13.bmp,stimuli/tunga_16.bmp,left,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,0,0,18,18,18,1,3,3,0
left,0,0.358695,stimuli/tunga_13.bmp,1,0,0,1000,0,social lose,,,,,,19,social,avoidloss,social_avoidloss,3,"Play to AVOID LOSING points

for the NEXT STUDENT",19,stimuli/tunga_13.bmp,-1,stimuli/tunga_16.bmp,0,0,13,16,stimuli/tunga_13.bmp,stimuli/tunga_16.bmp,stimuli/tunga_16.bmp,right,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,-1,0,19,19,19,1,3,3,0
left,1,0.56358,stimuli/tunga_13.bmp,1,0,0,1000,0,social avoid loss,,,,,,20,social,avoidloss,social_avoidloss,3,"Play to AVOID LOSING points

for the NEXT STUDENT",20,stimuli/tunga_13.bmp,0,stimuli/tunga_16.bmp,-1,0,13,16,stimuli/tunga_13.bmp,stimuli/tunga_16.bmp,stimuli/tunga_13.bmp,left,03,2021-04-06_12h07.59.163,psyc-347-prosocial-learning,2020.2.4post1,Win32,60,0,0,20,20,20,1,3,3,0
